        var_name       |      cal_date       |           cal           
 A2D001_CH7_4F         | 2008-07-23 17:17:16 | {-0.169762,1.06066}

 A2D013_CH0_1T         | 2008-07-23 19:19:22 | {-0.158454,1.05512}
 A2D013_CH1_1T         | 2008-07-23 19:24:53 | {-0.403385,1.07948}
 A2D013_CH2_1T         | 2008-07-23 19:36:52 | {-0.300111,1.06972}
 A2D013_CH3_1T         | 2008-07-23 19:39:26 | {-0.240912,1.06761}
 A2D013_CH4_1T         | 2008-07-23 19:41:55 | {-0.355868,1.0731}
 A2D013_CH5_1T         | 2008-07-23 19:44:48 | {-0.176171,1.05677}
 A2D013_CH6_1T         | 2008-07-23 19:48:48 | {-0.290442,1.06492}
 A2D013_CH7_1T         | 2008-07-23 19:51:56 | {-0.196365,1.05382}
 A2D013_CH0_2F         | 2008-07-23 20:00:33 | {-0.227191,1.05478}
 A2D013_CH1_2F         | 2008-07-23 20:05:19 | {-0.473831,1.0793}
 A2D013_CH2_2F         | 2008-07-23 20:07:17 | {-0.359207,1.06973}
 A2D013_CH3_2F         | 2008-07-23 20:09:44 | {-0.32302,1.0676}
 A2D013_CH4_2F         | 2008-07-23 20:12:02 | {-0.422656,1.07296}
 A2D013_CH5_2F         | 2008-07-23 20:14:50 | {-0.260452,1.0566}
 A2D013_CH6_2F         | 2008-07-23 20:17:23 | {-0.355582,1.06472}
 A2D013_CH7_2F         | 2008-07-23 20:19:51 | {-0.246618,1.05377}
 A2D013_CH0_2T         | 2008-07-23 20:26:06 | {-0.0797479,1.05522}
 A2D013_CH1_2T         | 2008-07-23 20:29:35 | {-0.201411,1.07968}
 A2D013_CH2_2T         | 2008-07-23 20:32:45 | {-0.149987,1.07014}
 A2D013_CH3_2T         | 2008-07-23 20:36:24 | {-0.120316,1.06802}
 A2D013_CH4_2T         | 2008-07-23 20:38:40 | {-0.177851,1.07335}
 A2D013_CH5_2T         | 2008-07-23 20:41:07 | {-0.0877369,1.05695}
 A2D013_CH6_2T         | 2008-07-23 20:43:21 | {-0.145046,1.06513}
 A2D013_CH7_2T         | 2008-07-23 20:46:00 | {-0.0981492,1.05421}
 A2D013_CH0_4F         | 2008-07-23 20:51:03 | {-0.113484,1.05514}
 A2D013_CH1_4F         | 2008-07-23 20:53:09 | {-0.236754,1.0797}
 A2D013_CH2_4F         | 2008-07-23 20:55:52 | {-0.179499,1.07013}
 A2D013_CH3_4F         | 2008-07-23 20:59:00 | {-0.16169,1.0681}
 A2D013_CH4_4F         | 2008-07-23 21:01:31 | {-0.211182,1.07348}
 A2D013_CH5_4F         | 2008-07-23 21:04:14 | {-0.130334,1.05709}
 A2D013_CH6_4F         | 2008-07-23 21:07:50 | {-0.177747,1.06503}
 A2D013_CH7_4F         | 2008-07-23 21:11:35 | {-0.123596,1.05424}

 A2D009_CH0_1T         | 2008-07-24 14:25:51 | {-0.20591,1.05566}
 A2D009_CH1_1T         | 2008-07-24 14:28:14 | {-0.337413,1.06927}
 A2D009_CH2_1T         | 2008-07-24 14:32:20 | {-0.331067,1.06979}
 A2D009_CH3_1T         | 2008-07-24 14:35:28 | {-0.427599,1.08184}
 A2D009_CH4_1T         | 2008-07-24 14:39:36 | {-0.267091,1.06558}
 A2D009_CH5_1T         | 2008-07-24 14:42:49 | {-0.352258,1.07413}
 A2D009_CH6_1T         | 2008-07-24 14:45:45 | {-0.176015,1.05216}
 A2D009_CH7_1T         | 2008-07-24 14:50:21 | {-0.059246,1.04624}
 A2D009_CH0_2F         | 2008-07-24 14:55:41 | {-0.280251,1.0548}
 A2D009_CH1_2F         | 2008-07-24 14:58:36 | {-0.405107,1.06881}
 A2D009_CH2_2F         | 2008-07-24 15:01:06 | {-0.39516,1.06964}
 A2D009_CH3_2F         | 2008-07-24 15:04:04 | {-0.513639,1.08174}
 A2D009_CH4_2F         | 2008-07-24 15:06:56 | {-0.362966,1.06525}
 A2D009_CH5_2F         | 2008-07-24 15:09:56 | {-0.429969,1.07371}
 A2D009_CH6_2F         | 2008-07-24 15:12:53 | {-0.252616,1.0518}
 A2D009_CH7_2F         | 2008-07-24 15:15:35 | {-0.147626,1.04594}
 A2D009_CH0_2T         | 2008-07-24 15:22:12 | {-0.102956,1.05544}
 A2D009_CH1_2T         | 2008-07-24 15:24:39 | {-0.168727,1.06918}
 A2D009_CH2_2T         | 2008-07-24 15:27:03 | {-0.165985,1.06998}
 A2D009_CH3_2T         | 2008-07-24 15:29:51 | {-0.214047,1.08203}
 A2D009_CH4_2T         | 2008-07-24 15:32:12 | {-0.13324,1.06558}
 A2D009_CH5_2T         | 2008-07-24 15:36:27 | {-0.176084,1.07401}
 A2D009_CH6_2T         | 2008-07-24 15:40:03 | {-0.0882681,1.05212}
 A2D009_CH7_2T         | 2008-07-24 15:42:35 | {-0.029849,1.04633}
 A2D009_CH0_4F         | 2008-07-24 15:48:04 | {-0.140331,1.05547}
 A2D009_CH1_4F         | 2008-07-24 15:50:04 | {-0.202745,1.06914}
 A2D009_CH2_4F         | 2008-07-24 15:52:22 | {-0.197854,1.06985}
 A2D009_CH3_4F         | 2008-07-24 15:54:30 | {-0.256917,1.08187}
 A2D009_CH4_4F         | 2008-07-24 15:57:13 | {-0.181431,1.06548}
 A2D009_CH5_4F         | 2008-07-24 15:59:41 | {-0.215263,1.07399}
 A2D009_CH6_4F         | 2008-07-24 16:02:42 | {-0.126308,1.05194}
 A2D009_CH7_4F         | 2008-07-24 16:04:47 | {-0.0740873,1.04619}

 A2D016_CH0_1T         | 2008-07-24 19:02:23 | {-0.667368,1.0896}
 A2D016_CH1_1T         | 2008-07-24 19:06:33 | {-0.448393,1.07149}
 A2D016_CH2_1T         | 2008-07-24 19:09:38 | {-0.222338,1.04947}
 A2D016_CH3_1T         | 2008-07-24 19:12:18 | {-0.396898,1.06441}
 A2D016_CH4_1T         | 2008-07-24 19:15:42 | {-0.309464,1.06695}
 A2D016_CH5_1T         | 2008-07-24 19:18:01 | {-0.210642,1.04714}
 A2D016_CH6_1T         | 2008-07-24 19:20:34 | {-0.306898,1.05678}
 A2D016_CH7_1T         | 2008-07-24 19:23:28 | {-0.304352,1.05279}
 A2D016_CH0_2F         | 2008-07-24 19:30:04 | {-0.737132,1.08921}
 A2D016_CH1_2F         | 2008-07-24 19:32:51 | {-0.534959,1.07124}
 A2D016_CH2_2F         | 2008-07-24 19:36:02 | {-0.289717,1.04916}
 A2D016_CH3_2F         | 2008-07-24 19:38:54 | {-0.449936,1.06418}
 A2D016_CH4_2F         | 2008-07-24 19:42:00 | {-0.410832,1.06654}
 A2D016_CH5_2F         | 2008-07-24 19:44:47 | {-0.262859,1.0468}
 A2D016_CH6_2F         | 2008-07-24 19:47:32 | {-0.376521,1.05656}
 A2D016_CH7_2F         | 2008-07-24 19:51:03 | {-0.356516,1.0525}
 A2D016_CH0_2T         | 2008-07-24 19:56:01 | {-0.334114,1.08966}
 A2D016_CH1_2T         | 2008-07-24 19:58:20 | {-0.224497,1.07172}
 A2D016_CH2_2T         | 2008-07-24 20:01:42 | {-0.111262,1.0496}
 A2D016_CH3_2T         | 2008-07-24 20:04:22 | {-0.198753,1.06463}
 A2D016_CH4_2T         | 2008-07-24 20:06:46 | {-0.154661,1.06697}
 A2D016_CH5_2T         | 2008-07-24 20:09:15 | {-0.105267,1.04719}
 A2D016_CH6_2T         | 2008-07-24 20:11:53 | {-0.153619,1.05689}
 A2D016_CH7_2T         | 2008-07-24 20:14:27 | {-0.152021,1.0529}
 A2D016_CH0_4F         | 2008-07-24 20:19:53 | {-0.368189,1.08946}
 A2D016_CH1_4F         | 2008-07-24 20:22:22 | {-0.267709,1.07159}
 A2D016_CH2_4F         | 2008-07-24 20:25:19 | {-0.14502,1.04947}
 A2D016_CH3_4F         | 2008-07-24 20:27:52 | {-0.224974,1.06454}
 A2D016_CH4_4F         | 2008-07-24 20:30:56 | {-0.205363,1.06689}
 A2D016_CH5_4F         | 2008-07-24 20:33:30 | {-0.131474,1.04713}
 A2D016_CH6_4F         | 2008-07-24 20:36:34 | {-0.1883,1.05684}
 A2D016_CH7_4F         | 2008-07-24 20:39:20 | {-0.178458,1.05283}

 A2D017_CH0_1T         | 2008-07-25 14:22:37 | {-0.219131,1.0523}
 A2D017_CH1_1T         | 2008-07-25 14:25:10 | {-0.32567,1.05609}
 A2D017_CH2_1T         | 2008-07-25 14:28:03 | {-0.176708,1.04361}
 A2D017_CH3_1T         | 2008-07-25 14:50:59 | {-0.366926,1.07286}
 A2D017_CH4_1T         | 2008-07-25 14:53:16 | {-0.422938,1.07407}
 A2D017_CH5_1T         | 2008-07-25 14:56:27 | {-0.389818,1.06337}
 A2D017_CH6_1T         | 2008-07-25 15:04:36 | {-0.374679,1.06374}
 A2D017_CH7_1T         | 2008-07-25 15:07:30 | {-0.35083,1.06414}
 A2D017_CH0_2F         | 2008-07-25 15:12:25 | {-0.299226,1.05223}
 A2D017_CH1_2F         | 2008-07-25 15:15:16 | {-0.364108,1.05595}
 A2D017_CH2_2F         | 2008-07-25 15:19:00 | {-0.2294,1.0434}
 A2D017_CH3_2F         | 2008-07-25 15:22:45 | {-0.46794,1.07266}
 A2D017_CH4_2F         | 2008-07-25 15:25:10 | {-0.515915,1.07376}
 A2D017_CH5_2F         | 2008-07-25 15:27:10 | {-0.426698,1.06302}
 A2D017_CH6_2F         | 2008-07-25 15:29:27 | {-0.447856,1.06352}
 A2D017_CH7_2F         | 2008-07-25 15:31:39 | {-0.419134,1.06384}
 A2D017_CH0_2T         | 2008-07-25 15:36:42 | {-0.109319,1.05253}
 A2D017_CH1_2T         | 2008-07-25 15:39:59 | {-0.163012,1.0563}
 A2D017_CH2_2T         | 2008-07-25 15:43:00 | {-0.0885411,1.04384}
 A2D017_CH3_2T         | 2008-07-25 15:45:27 | {-0.183684,1.07321}
 A2D017_CH4_2T         | 2008-07-25 15:48:20 | {-0.211418,1.07424}
 A2D017_CH5_2T         | 2008-07-25 15:50:32 | {-0.194991,1.06349}
 A2D017_CH6_2T         | 2008-07-25 15:53:43 | {-0.187385,1.06392}
 A2D017_CH7_2T         | 2008-07-25 15:56:20 | {-0.175241,1.06421}
 A2D017_CH0_4F         | 2008-07-25 16:02:48 | {-0.149798,1.05214}
 A2D017_CH1_4F         | 2008-07-25 16:28:51 | {-0.18199,1.0561}
 A2D017_CH2_4F         | 2008-07-25 16:32:15 | {-0.114942,1.04357}
 A2D017_CH3_4F         | 2008-07-25 16:34:56 | {-0.234376,1.0729}
 A2D017_CH4_4F         | 2008-07-25 16:39:48 | {-0.258408,1.0742}
 A2D017_CH5_4F         | 2008-07-25 16:52:04 | {-0.213796,1.06334}
 A2D017_CH6_4F         | 2008-07-25 16:57:06 | {-0.224223,1.06376}
 A2D017_CH7_4F         | 2008-07-25 17:00:38 | {-0.209569,1.06409}

 A2D018_CH0_1T         | 2008-07-28 14:06:12 | {-0.427703,1.07082}
 A2D018_CH1_1T         | 2008-07-28 14:09:06 | {-0.164416,1.0477}
 A2D018_CH2_1T         | 2008-07-28 14:12:20 | {-0.267273,1.05954}
 A2D018_CH3_1T         | 2008-07-28 14:15:54 | {-0.142532,1.05063}
 A2D018_CH4_1T         | 2008-07-28 14:19:44 | {-0.321165,1.06208}
 A2D018_CH5_1T         | 2008-07-28 14:22:31 | {-0.265229,1.05849}
 A2D018_CH6_1T         | 2008-07-28 14:25:47 | {-0.389333,1.06849}
 A2D018_CH7_1T         | 2008-07-28 14:28:44 | {-0.0861081,1.04004}
 A2D018_CH0_2F         | 2008-07-28 14:34:28 | {-0.480599,1.06978}
 A2D018_CH1_2F         | 2008-07-28 14:37:15 | {-0.236531,1.04729}
 A2D018_CH2_2F         | 2008-07-28 14:40:12 | {-0.356111,1.05912}
 A2D018_CH3_2F         | 2008-07-28 14:43:02 | {-0.237356,1.05021}
 A2D018_CH4_2F         | 2008-07-28 14:45:43 | {-0.397339,1.06151}
 A2D018_CH5_2F         | 2008-07-28 14:48:20 | {-0.342375,1.05791}
 A2D018_CH6_2F         | 2008-07-28 14:52:30 | {-0.479391,1.06808}
 A2D018_CH7_2F         | 2008-07-28 14:55:30 | {-0.172036,1.0397}
 A2D018_CH0_2T         | 2008-07-28 15:01:40 | {-0.214199,1.07058}
 A2D018_CH1_2T         | 2008-07-28 15:04:12 | {-0.0825314,1.04761}
 A2D018_CH2_2T         | 2008-07-28 15:07:41 | {-0.133909,1.05955}
 A2D018_CH3_2T         | 2008-07-28 15:10:27 | {-0.0712711,1.05061}
 A2D018_CH4_2T         | 2008-07-28 15:13:20 | {-0.160628,1.06186}
 A2D018_CH5_2T         | 2008-07-28 15:16:12 | {-0.13259,1.05827}
 A2D018_CH6_2T         | 2008-07-28 15:19:32 | {-0.194909,1.06842}
 A2D018_CH7_2T         | 2008-07-28 15:22:11 | {-0.0430147,1.04004}
 A2D018_CH0_4F         | 2008-07-28 15:28:43 | {-0.240724,1.06989}
 A2D018_CH1_4F         | 2008-07-28 15:32:13 | {-0.118886,1.04743}
 A2D018_CH2_4F         | 2008-07-28 15:34:59 | {-0.178498,1.05924}
 A2D018_CH3_4F         | 2008-07-28 15:38:41 | {-0.118884,1.05033}
 A2D018_CH4_4F         | 2008-07-28 15:42:56 | {-0.199078,1.06175}
 A2D018_CH5_4F         | 2008-07-28 15:45:28 | {-0.171626,1.05818}
 A2D018_CH6_4F         | 2008-07-28 15:47:57 | {-0.240094,1.06827}
 A2D018_CH7_4F         | 2008-07-28 15:50:29 | {-0.0863644,1.03997}

 A2D014_CH0_1T         | 2008-07-28 18:42:11 | {-0.210357,1.04972}
 A2D014_CH1_1T         | 2008-07-28 18:44:32 | {-0.219233,1.05079}
 A2D014_CH2_1T         | 2008-07-28 18:46:55 | {0.0239137,1.029}
 A2D014_CH3_1T         | 2008-07-28 18:49:29 | {-0.168375,1.04568}
 A2D014_CH4_1T         | 2008-07-28 18:52:22 | {-0.349398,1.06694}
 A2D014_CH5_1T         | 2008-07-28 18:55:51 | {-0.200812,1.05245}
 A2D014_CH6_1T         | 2008-07-28 18:58:24 | {-0.1837,1.048}
 A2D014_CH7_1T         | 2008-07-28 19:00:59 | {-0.308241,1.06367}
 A2D014_CH0_2F         | 2008-07-28 19:07:04 | {-0.26282,1.04908}
 A2D014_CH1_2F         | 2008-07-28 19:09:05 | {-0.283953,1.05041}
 A2D014_CH2_2F         | 2008-07-28 19:11:43 | {-0.0357536,1.02854}
 A2D014_CH3_2F         | 2008-07-28 19:14:01 | {-0.205611,1.04535}
 A2D014_CH4_2F         | 2008-07-28 19:16:46 | {-0.410461,1.06639}
 A2D014_CH5_2F         | 2008-07-28 19:19:11 | {-0.283155,1.0519}
 A2D014_CH6_2F         | 2008-07-28 19:21:29 | {-0.255372,1.0475}
 A2D014_CH7_2F         | 2008-07-28 19:24:03 | {-0.387532,1.06338}
 A2D014_CH0_2T         | 2008-07-28 19:29:09 | {-0.105666,1.04945}
 A2D014_CH1_2T         | 2008-07-28 19:31:39 | {-0.109752,1.05063}
 A2D014_CH2_2T         | 2008-07-28 19:34:09 | {0.0122241,1.029}
 A2D014_CH3_2T         | 2008-07-28 19:37:50 | {-0.0842938,1.04583}
 A2D014_CH4_2T         | 2008-07-28 19:40:39 | {-0.174354,1.06695}
 A2D014_CH5_2T         | 2008-07-28 19:43:35 | {-0.100505,1.05251}
 A2D014_CH6_2T         | 2008-07-28 19:46:33 | {-0.0922624,1.04822}
 A2D014_CH7_2T         | 2008-07-28 19:48:45 | {-0.153797,1.06392}
 A2D014_CH0_4F         | 2008-07-28 19:54:22 | {-0.131862,1.04922}
 A2D014_CH1_4F         | 2008-07-28 19:56:47 | {-0.142315,1.05065}
 A2D014_CH2_4F         | 2008-07-28 19:59:11 | {-0.018022,1.02877}
 A2D014_CH3_4F         | 2008-07-28 20:02:10 | {-0.103026,1.04566}
 A2D014_CH4_4F         | 2008-07-28 20:04:51 | {-0.20543,1.06678}
 A2D014_CH5_4F         | 2008-07-28 20:08:22 | {-0.141649,1.05231}
 A2D014_CH6_4F         | 2008-07-28 20:10:55 | {-0.128086,1.04796}
 A2D014_CH7_4F         | 2008-07-28 20:13:43 | {-0.193997,1.06382}

 A2D006_CH0_1T         | 2008-07-29 13:19:41 | {-0.208293,1.04528}
 A2D006_CH1_1T         | 2008-07-29 13:22:03 | {-0.312721,1.05542}
 A2D006_CH2_1T         | 2008-07-29 13:24:32 | {-0.48786,1.07633}
 A2D006_CH3_1T         | 2008-07-29 13:26:55 | {-0.371705,1.06371}
 A2D006_CH4_1T         | 2008-07-29 13:29:29 | {-0.322854,1.06281}
 A2D006_CH5_1T         | 2008-07-29 13:31:38 | {-0.232907,1.05278}
 A2D006_CH6_1T         | 2008-07-29 13:34:01 | {-0.201853,1.04746}
 A2D006_CH7_1T         | 2008-07-29 13:36:14 | {-0.229314,1.05121}
 A2D006_CH0_2F         | 2008-07-29 13:42:56 | {-0.277191,1.04492}
 A2D006_CH1_2F         | 2008-07-29 13:45:16 | {-0.361936,1.05508}
 A2D006_CH2_2F         | 2008-07-29 13:47:52 | {-0.560056,1.0761}
 A2D006_CH3_2F         | 2008-07-29 13:50:19 | {-0.425098,1.06341}
 A2D006_CH4_2F         | 2008-07-29 13:52:22 | {-0.412154,1.06248}
 A2D006_CH5_2F         | 2008-07-29 13:54:31 | {-0.318841,1.0524}
 A2D006_CH6_2F         | 2008-07-29 13:56:33 | {-0.266316,1.04718}
 A2D006_CH7_2F         | 2008-07-29 14:00:02 | {-0.315803,1.05098}
 A2D006_CH0_2T         | 2008-07-29 14:04:44 | {-0.104364,1.04539}
 A2D006_CH1_2T         | 2008-07-29 14:06:53 | {-0.156539,1.05551}
 A2D006_CH2_2T         | 2008-07-29 14:09:18 | {-0.244371,1.07651}
 A2D006_CH3_2T         | 2008-07-29 14:11:32 | {-0.186093,1.0638}
 A2D006_CH4_2T         | 2008-07-29 14:13:42 | {-0.161685,1.06286}
 A2D006_CH5_2T         | 2008-07-29 14:16:28 | {-0.11657,1.05274}
 A2D006_CH6_2T         | 2008-07-29 14:19:15 | {-0.101142,1.04755}
 A2D006_CH7_2T         | 2008-07-29 14:21:46 | {-0.114889,1.05136}
 A2D006_CH0_4F         | 2008-07-29 14:42:13 | {-0.139514,1.04533}
 A2D006_CH1_4F         | 2008-07-29 14:45:30 | {-0.181287,1.05529}
 A2D006_CH2_4F         | 2008-07-29 14:49:45 | {-0.28052,1.07621}
 A2D006_CH3_4F         | 2008-07-29 15:18:12 | {-0.212883,1.06364}
 A2D006_CH4_4F         | 2008-07-29 15:20:32 | {-0.206481,1.06268}
 A2D006_CH5_4F         | 2008-07-29 15:24:32 | {-0.15981,1.0526}
 A2D006_CH6_4F         | 2008-07-29 15:27:49 | {-0.133401,1.04732}
 A2D006_CH7_4F         | 2008-07-29 15:30:58 | {-0.158269,1.05114}

 A2D1600_CH0_1T        | 2008-07-30 22:17:06 | {-0.424102,1.07077}
 A2D1600_CH1_1T        | 2008-07-30 22:15:14 | {-0.241925,1.05606}
 A2D1600_CH2_1T        | 2008-07-30 22:13:20 | {-0.212201,1.05482}
 A2D1600_CH3_1T        | 2008-07-30 22:11:29 | {-0.388886,1.06898}
 A2D1600_CH5_1T        | 2008-07-30 22:07:56 | {-0.301425,1.05927}
 A2D1600_CH4_1T        | 2008-07-30 22:09:40 | {-0.354025,1.06621}
 A2D1600_CH6_1T        | 2008-07-30 22:06:11 | {-0.437819,1.07167}
 A2D1600_CH7_1T        | 2008-07-30 22:04:31 | {-0.197957,1.05049}
 A2D1600_CH0_2F        | 2008-07-30 21:48:23 | {-0.480775,1.07081}
 A2D1600_CH1_2F        | 2008-07-30 21:50:10 | {-0.320891,1.056}
 A2D1600_CH2_2F        | 2008-07-30 21:51:46 | {-0.303664,1.05488}
 A2D1600_CH3_2F        | 2008-07-30 21:53:25 | {-0.460422,1.06907}
 A2D1600_CH4_2F        | 2008-07-30 21:55:02 | {-0.442167,1.06619}
 A2D1600_CH5_2F        | 2008-07-30 21:56:42 | {-0.367403,1.05918}
 A2D1600_CH6_2F        | 2008-07-30 21:58:21 | {-0.50754,1.07155}
 A2D1600_CH7_2F        | 2008-07-30 21:59:54 | {-0.31281,1.05037}
 A2D1600_CH0_2T        | 2008-07-30 21:43:59 | {-0.21176,1.07139}
 A2D1600_CH1_2T        | 2008-07-30 21:42:18 | {-0.120609,1.05658}
 A2D1600_CH2_2T        | 2008-07-30 21:40:38 | {-0.106136,1.05534}
 A2D1600_CH3_2T        | 2008-07-30 21:38:59 | {-0.194403,1.06952}
 A2D1600_CH4_2T        | 2008-07-30 21:37:10 | {-0.177202,1.06671}
 A2D1600_CH5_2T        | 2008-07-30 21:35:26 | {-0.150876,1.05963}
 A2D1600_CH6_2T        | 2008-07-30 21:33:46 | {-0.219173,1.07206}
 A2D1600_CH7_2T        | 2008-07-30 21:31:39 | {-0.0994343,1.05089}
 A2D1600_CH0_4F        | 2008-07-30 20:41:30 | {-0.240544,1.07114}
 A2D1600_CH1_4F        | 2008-07-30 20:43:36 | {-0.160728,1.05631}
 A2D1600_CH2_4F        | 2008-07-30 20:45:28 | {-0.152155,1.05504}
 A2D1600_CH3_4F        | 2008-07-30 20:49:59 | {-0.23074,1.06942}
 A2D1600_CH4_4F        | 2008-07-30 20:52:58 | {-0.22161,1.06647}
 A2D1600_CH5_4F        | 2008-07-30 20:55:05 | {-0.183893,1.05943}
 A2D1600_CH6_4F        | 2008-07-30 20:56:44 | {-0.253809,1.0719}
 A2D1600_CH7_4F        | 2008-07-30 20:58:33 | {-0.156833,1.05079}

 A2D012_CH0_1T         | 2008-07-31 19:54:02 | {-0.2473,1.06748}
 A2D012_CH1_1T         | 2008-07-31 19:58:36 | {-0.441885,1.08829}
 A2D012_CH2_1T         | 2008-07-31 20:00:41 | {0.0612107,1.03791}
 A2D012_CH3_1T         | 2008-07-31 20:02:36 | {-0.267932,1.07166}
 A2D012_CH4_1T         | 2008-07-31 20:04:49 | {-0.15633,1.06176}
 A2D012_CH5_1T         | 2008-07-31 20:07:01 | {-0.292871,1.07054}
 A2D012_CH6_1T         | 2008-07-31 20:09:03 | {-0.250705,1.06689}
 A2D012_CH7_1T         | 2008-07-31 20:10:44 | {-0.0635283,1.05327}
 A2D012_CH0_2F         | 2008-07-31 20:36:30 | {-0.312419,1.06667}
 A2D012_CH1_2F         | 2008-07-31 20:38:59 | {-0.511873,1.08784}
 A2D012_CH2_2F         | 2008-07-31 20:41:05 | {-0.00236527,1.0375}
 A2D012_CH3_2F         | 2008-07-31 20:43:29 | {-0.331589,1.07131}
 A2D012_CH5_2F         | 2008-07-31 20:46:54 | {-0.348151,1.07003}
 A2D012_CH6_2F         | 2008-07-31 20:49:24 | {-0.330789,1.0664}

 A2D008_CH0_1T         | 2008-08-01 19:44:20 | {-0.0372662,1.03935}
 A2D008_CH1_1T         | 2008-08-01 19:46:54 | {-0.232913,1.05294}
 A2D008_CH2_1T         | 2008-08-01 19:49:05 | {-0.256966,1.06005}
 A2D008_CH3_1T         | 2008-08-01 19:50:59 | {-0.204062,1.05966}
 A2D008_CH4_1T         | 2008-08-01 19:52:52 | {-0.14919,1.05005}
 A2D008_CH5_1T         | 2008-08-01 19:55:02 | {-0.31209,1.0605}
 A2D008_CH6_1T         | 2008-08-01 19:57:46 | {-0.138007,1.05037}
 A2D008_CH7_1T         | 2008-08-01 20:00:08 | {-0.153557,1.05181}
 A2D008_CH0_2F         | 2008-08-01 20:33:12 | {-0.128993,1.03943}
 A2D008_CH1_2F         | 2008-08-01 20:31:17 | {-0.29538,1.0528}
 A2D008_CH2_2F         | 2008-08-01 20:29:00 | {-0.334365,1.05991}
 A2D008_CH3_2F         | 2008-08-01 20:26:53 | {-0.303216,1.05949}
 A2D008_CH4_2F         | 2008-08-01 20:25:04 | {-0.237734,1.04979}
 A2D008_CH6_2F         | 2008-08-01 20:21:22 | {-0.236169,1.05022}
 A2D008_CH5_2F         | 2008-08-01 20:23:07 | {-0.367247,1.06041}
 A2D008_CH7_2F         | 2008-08-01 20:19:42 | {-0.247576,1.05158}
 A2D008_CH0_2T         | 2008-08-01 21:36:07 | {-0.0183806,1.03978}
 A2D008_CH1_2T         | 2008-08-01 21:38:08 | {-0.116385,1.05313}
 A2D008_CH2_2T         | 2008-08-01 21:40:06 | {-0.12854,1.06027}
 A2D008_CH3_2T         | 2008-08-01 21:41:48 | {-0.102216,1.05983}
 A2D008_CH4_2T         | 2008-08-01 21:43:37 | {-0.0746045,1.05007}
 A2D008_CH5_2T         | 2008-08-01 21:45:18 | {-0.155934,1.06056}
 A2D008_CH6_2T         | 2008-08-01 21:46:49 | {-0.068991,1.05048}
 A2D008_CH7_2T         | 2008-08-01 21:48:40 | {-0.0771664,1.0519}
 A2D008_CH0_4F         | 2008-08-01 22:49:41 | {-0.0648988,1.0396}
 A2D008_CH1_4F         | 2008-08-01 22:48:08 | {-0.147796,1.05293}
 A2D008_CH2_4F         | 2008-08-01 22:46:34 | {-0.167593,1.06013}
 A2D008_CH3_4F         | 2008-08-01 22:44:58 | {-0.151883,1.05969}
 A2D008_CH4_4F         | 2008-08-01 22:43:23 | {-0.119142,1.04998}
 A2D008_CH5_4F         | 2008-08-01 22:41:44 | {-0.183978,1.06049}
 A2D008_CH6_4F         | 2008-08-01 22:40:08 | {-0.118285,1.05031}
 A2D008_CH7_4F         | 2008-08-01 22:38:32 | {-0.124218,1.05183}
